read_header > 
read_header < err=0
dump_header > 
	code = 'MDTG' version=[0] 
	record_unit_size=[80], base_odometer=[0], trip_cnt=[6]
	offset[0]=[952]
	offset[1]=[13032]
	offset[2]=[17192]
	offset[3]=[70712]
	offset[4]=[105752]
	offset[5]=[145992]
	slack_cnt=[10], slack_unit_size=[24]
	slack[0]=[10-0001-00]
	slack[1]=[1K25MD08000007]
	slack[2]=[00000000]
	slack[3]=[K00000000000]
	slack[4]=[0000000000]
	slack[5]=[##########00000000]
	slack[6]=[K00000000000000]
	slack[7]=[12가3456]
	slack[8]=[1234567890]
	slack[9]=[12가3457]
dump_header < err=0
offset,tripid,approval,serial,vehicle_id,vehicle_type,vehicle_plate,provider_code,driver_code,odometerday,odometer,YYMMDD_HHMMSS,vss_tick,rpm_tick,brake_pressure,latitude,longtitude,true_course,accelx,accely,accelz
2392,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:50:8],0,0,0,37525588,126889824,0,-6.6,100.0,-11.1
2472,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:50:9],0,0,0,37525588,126889824,0,-6.6,100.0,-11.1
2552,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:50:10],0,0,0,37525588,126889824,0,-6.7,100.0,-11.2
2632,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:50:11],0,0,0,37525588,126889824,0,-6.6,100.0,-11.2
2712,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:50:12],0,0,0,37525588,126889824,0,-6.6,100.0,-11.2
2792,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:50:13],0,0,0,37525588,126889824,0,-6.7,100.0,-11.2
2872,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:50:14],0,0,0,37525588,126889824,0,-6.6,100.0,-11.2
2952,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:50:15],0,0,0,37525588,126889824,0,-6.6,100.0,-11.2
3032,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:50:16],0,0,0,37525588,126889824,0,-6.6,100.0,-11.3
3112,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:50:17],0,0,0,37525588,126889824,0,-6.7,100.0,-11.2
3192,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:50:18],0,0,0,37525588,126889824,0,-6.6,100.0,-11.2
3272,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:50:19],0,0,0,37525588,126889824,0,-6.5,100.0,-11.2
3352,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:50:20],0,0,0,37525588,126889824,0,-6.7,100.0,-11.3
3432,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:50:21],0,0,0,37525588,126889824,0,-6.6,100.0,-11.2
3512,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:50:22],0,0,0,37525588,126889824,0,-6.7,100.0,-11.3
3592,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:50:23],0,0,0,37525588,126889824,0,-6.6,100.0,-8.8
3672,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:50:24],0,0,0,37525588,126889824,0,-6.6,100.0,-7.4
3752,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:50:25],0,0,0,37525588,126889824,0,-6.6,100.0,-7.0
3832,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:50:26],0,0,0,37525588,126889824,0,-6.6,100.0,-7.1
3912,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:50:27],0,0,0,37525588,126889824,0,-6.6,100.0,-7.0
3992,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:50:28],0,0,0,37525588,126889824,0,-6.5,100.0,-7.0
4072,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:50:29],0,0,0,37525588,126889824,0,-6.5,100.0,-7.0
4152,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:50:30],0,0,0,37525588,126889824,0,-6.6,100.0,-7.0
4232,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:50:31],0,0,0,37525588,126889824,0,-6.4,100.0,-7.0
4312,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:50:32],0,0,0,37525588,126889824,0,-6.6,100.0,-7.0
4392,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:50:33],0,0,0,37525588,126889824,0,-6.6,100.0,-7.2
4472,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:50:34],0,0,0,37525588,126889824,0,-6.5,100.0,-8.0
4552,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:50:35],0,0,0,37525588,126889824,0,-6.6,100.0,-8.2
4632,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:50:36],0,0,0,37525588,126889824,0,-6.6,100.0,-8.7
